               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.068104,             0.01551,           0.0084833,              0.7929,            0.009835,           0.0089709,           0.0028433,             0.13004,           0.0080875,            0.015167,             0.00388,             0.00388,             0.00388
                  70,            0.067841,             0.01564,           0.0083571,             0.57324,            0.012736,           0.0096803,           0.0037498,             0.13032,           0.0080652,            0.015529,             0.00379,             0.00379,             0.00379
                  71,             0.06743,             0.01539,           0.0084587,             0.57696,            0.012736,            0.009321,             0.00372,             0.13125,           0.0079972,            0.015713,              0.0037,              0.0037,              0.0037
                  72,            0.067091,            0.015354,           0.0083828,             0.57195,            0.012424,           0.0086862,           0.0039428,             0.13135,           0.0079553,            0.015715,             0.00361,             0.00361,             0.00361
                  73,            0.067405,            0.015401,           0.0084136,             0.56268,            0.020052,           0.0073633,           0.0030035,             0.13121,           0.0079527,            0.015494,             0.00352,             0.00352,             0.00352
                  74,            0.066578,            0.015288,           0.0082967,             0.68303,            0.011855,           0.0094186,           0.0036002,             0.13144,           0.0078807,            0.015695,             0.00343,             0.00343,             0.00343
                  75,            0.066052,            0.015279,            0.008153,              0.5649,            0.018808,            0.010084,           0.0035556,             0.13133,           0.0078899,            0.015587,             0.00334,             0.00334,             0.00334
                  76,            0.065765,             0.01524,           0.0082117,             0.79765,             0.01233,            0.011321,           0.0038645,             0.13151,           0.0079108,            0.015592,             0.00325,             0.00325,             0.00325
                  77,            0.065571,            0.015199,           0.0081519,             0.45279,            0.021734,            0.010568,           0.0041736,             0.13083,            0.007988,            0.015373,             0.00316,             0.00316,             0.00316
                  78,            0.065013,            0.015085,           0.0080851,             0.68511,            0.012826,           0.0095294,           0.0033446,             0.13062,            0.007988,            0.015464,             0.00307,             0.00307,             0.00307
                  79,             0.06434,            0.014828,            0.008031,             0.78987,             0.01081,           0.0099718,           0.0037673,             0.13066,           0.0079763,            0.015512,             0.00298,             0.00298,             0.00298
                  80,            0.064497,            0.014987,           0.0080381,             0.79008,            0.011542,            0.009598,           0.0039184,             0.13066,           0.0079763,            0.015799,             0.00289,             0.00289,             0.00289
                  81,            0.063583,            0.014707,            0.007946,             0.79542,            0.012346,            0.010091,           0.0049201,             0.13099,           0.0079933,             0.01569,              0.0028,              0.0028,              0.0028
                  82,             0.06341,            0.014852,           0.0079271,             0.69269,            0.013062,            0.010132,           0.0048765,             0.13069,           0.0080678,            0.015393,             0.00271,             0.00271,             0.00271
                  83,            0.063095,            0.014683,            0.007922,             0.67779,            0.012436,            0.011796,           0.0053506,             0.13066,           0.0081189,            0.015607,             0.00262,             0.00262,             0.00262
                  84,            0.063304,            0.014721,           0.0079429,              0.6781,             0.01268,           0.0095974,           0.0039464,             0.13091,           0.0080809,              0.0157,             0.00253,             0.00253,             0.00253
                  85,            0.062639,            0.014535,           0.0077852,             0.79043,            0.012599,            0.011844,           0.0052476,             0.13078,            0.008077,            0.015466,             0.00244,             0.00244,             0.00244
                  86,            0.061901,            0.014528,           0.0078108,             0.68256,            0.012818,            0.010196,           0.0046876,             0.13135,           0.0080116,            0.015768,             0.00235,             0.00235,             0.00235
